,airline_sentiment,text,tweet_created,tweet_location,score,one_hot_score
2027,positive,@jetblue you're still the best,2015-02-22 17:38:17 -0800,"Boston, MA",1,"[0, 0, 1]"
2028,positive,@southwestair has some of the best airfare prices! gotta luv them :),2015-02-19 15:12:43 -0800,"Columbia, Mo.",1,"[0, 0, 1]"
2029,positive,"@virginamerica is the best airline i have flown on.easy to change your reservation,helpful representatives &amp; a comfortable flying experience",2015-02-23 03:01:39 -0800,"Halifax, Nova Scotia, Canada",1,"[0, 0, 1]"
2030,negative,“@united: @rikrik__ what made you come to this? can we help you with anything? ^jp” the service just hasn't been great.,2015-02-22 15:35:19 -0800,Saint Louis,-1,"[1, 0, 0]"
2031,negative,@united i have flown with you 10 times in the last 13 days. 8 out of 10 flights have been delayed. huge mistake on my part. don't fly united,2015-02-20 17:38:49 -0800,Minneapolis,-1,"[1, 0, 0]"
2032,positive,@americanair thanks! he is.,2015-02-22 12:04:09 -0800,"Chapel Hill, NC",1,"[0, 0, 1]"
2033,neutral,@united doesn't purchasing ticket with a united card give me priority boarding ?,2015-02-22 10:08:45 -0800,,0,"[0, 1, 0]"
2034,positive,"@americanair @robertdwyer aa doesnt charge any fees to change award tickets as long as the origin, destination &amp; award type remains the same",2015-02-24 10:33:57 -0800,Texas,1,"[0, 0, 1]"
2035,neutral,@southwestair do you anticipate any cancelled flightlations for flights out of nashville tomorrow? thank you!,2015-02-18 15:00:24 -0800,"Buffalo, NY",0,"[0, 1, 0]"
2036,positive,@jetblue  hahah 😂👌👌👌 love flying jet blue tho!! http://t.co/7vee44macm,2015-02-23 10:27:58 -0800,Out There,1,"[0, 0, 1]"
2037,neutral,"@virginamerica now, when will we see virginamerica come to philadelphia (phl).",2015-02-18 09:29:50 -0800,,0,"[0, 1, 0]"
2038,positive,"@virginamerica thank you for the easy itinerary shift for impending weather. quick, painless &amp; free.",2015-02-20 22:28:03 -0800,New York for now.,1,"[0, 0, 1]"
2039,negative,@united i will never fly with you again. i went on vacation this week and you lost my bags both ways. now i have no clothes. thankyou,2015-02-21 20:31:07 -0800,,-1,"[1, 0, 0]"
2040,positive,@united wifi onboard 737-800 far superior in pricing and performance (user-perceived bandwidth and late flightncy) to recent @gogo experiences.,2015-02-17 10:14:11 -0800,"Port Washington, NY 11050",1,"[0, 0, 1]"
2041,neutral,@united it was last night's 1235/ord-lga.,2015-02-24 08:29:06 -0800,Above the B/D/N/Q/R/2/3/4/5,0,"[0, 1, 0]"
2042,neutral,@virginamerica i was scheduled for sfo 2 dal flight 714 today. changed to 24th due weather. looks like flight still on?,2015-02-23 07:28:43 -0800,"Dallas, TX",0,"[0, 1, 0]"
2043,negative,"@virginamerica a lot of ""apologies"" being thrown out to customers from what i can see.very sad. thanks for nothing. worst airline ever.",2015-02-21 17:41:48 -0800,,-1,"[1, 0, 0]"
2044,negative,"@virginamerica not really the experience i was hoping 4, i ws forced 2 check in a small carry on, w/ nothing but empty cabin space on board",2015-02-19 13:14:23 -0800,”Straight Outta Jersey”,-1,"[1, 0, 0]"
2045,positive,@usairways i just think it's weird to have mileage as 666,2015-02-19 11:35:54 -0800,"Washington, DC",1,"[0, 0, 1]"
2046,negative,@united i'm confused. after your @dulles_airport agents directed us to go to your website after delays nothing works! http://t.co/cyprhe5gok,2015-02-19 16:53:03 -0800,"Jacksonville Beach, FL",-1,"[1, 0, 0]"
2047,positive,"@united despite shaky connections, looks like i'll get home tonight. great job, @united - was touch and go for a while..",2015-02-23 18:41:38 -0800,"Denver, CO",1,"[0, 0, 1]"
2048,neutral,"@virginamerica announces new nonstop connecting @austinairport &amp; @dallaslovefield, $39 intro: http://t.co/qxnoaqtyn8 http://t.co/jk7qmdfqgf",2015-02-18 10:25:30 -0800,"Austin, TX",0,"[0, 1, 0]"
2049,neutral,@united @ehsanismpowered lmfao,2015-02-21 16:07:47 -0800,Heart of America,0,"[0, 1, 0]"
2050,positive,@united you guys are awesome! thanks!,2015-02-19 21:56:44 -0800,,1,"[0, 0, 1]"
2051,neutral,@united does forelock guarantee the fare only or fare &amp; seats?,2015-02-17 15:24:50 -0800,toronto,0,"[0, 1, 0]"
2052,positive,"@americanair yep, was in one of my other camera memory card :d",2015-02-23 01:01:33 -0800,Left hand seat in flightdeck,1,"[0, 0, 1]"
2053,positive,"@jetblue i love flying with u, but i have a question, why is one of ur planes called ny jets",2015-02-23 10:37:14 -0800,"south gate, california",1,"[0, 0, 1]"
2054,neutral,"@usairways do your flight schedules to - from quintana roo, mexico reflect their newly adopted time zone change to est?",2015-02-23 05:03:10 -0800,,0,"[0, 1, 0]"
2055,positive,@americanair oh it's nothing my issue was already resolved and i am in the air,2015-02-24 08:08:09 -0800,"Pirate Isle, Arcadia",1,"[0, 0, 1]"
2056,negative,@united i'm strongly considering taking my business elsewhere. #unitedairlines,2015-02-21 08:24:52 -0800,New York,-1,"[1, 0, 0]"
2057,negative,@united plus what about food? and taxis?,2015-02-23 22:03:59 -0800,"Ottawa, Canada",-1,"[1, 0, 0]"
2058,positive,@usairways i'm glad @beamske retweeted otherwise you would have to ignore the numerous tweets i sent. you all are fucking amazing,2015-02-24 07:54:35 -0800,Kentucky,1,"[0, 0, 1]"
2059,positive,@southwestair finally! integration w/ passbook is a great valentine gift - better then chocolate flight. you do heart me.,2015-02-17 09:40:35 -0800,"Austin, TX",1,"[0, 0, 1]"
2060,positive,"@southwestair - total win!! happy 7th bday on intercom, chocolate flight kisses, and a chance to hand out snacks.thank you. http://t.co/nklozcntto",2015-02-17 19:21:38 -0800,Dallas,1,"[0, 0, 1]"
2061,positive,@virginamerica wow this just blew my mind,2015-02-23 16:01:25 -0800,Oakland via Midwest ,1,"[0, 0, 1]"
2062,negative,"@united not 100% sure, however my ticket included one checked bag, therefore this charge was extra and completely unanticipated.",2015-02-20 13:26:11 -0800,Edinbrah ,-1,"[1, 0, 0]"
2063,neutral,@united all set. figured it out at the baggage office!,2015-02-21 23:36:56 -0800,Little Rhody,0,"[0, 1, 0]"
2064,neutral,@united i would love if someone could get me back to austin tonight and i do not wish to wait til tomorrow morning.,2015-02-23 15:47:14 -0800,Ausvegas,0,"[0, 1, 0]"
2065,negative,@united flight cancelled flightled to bdl and stranded @dulles_airport. waiting almost 2hrs at customer service. shout out to diligent agents.,2015-02-21 15:52:20 -0800,"New Haven, CT",-1,"[1, 0, 0]"
2066,negative,"@united agent rick clifton in sea-hou , told him my father is dying and needed to get my handbag on the cabin. he did nothing #shameful",2015-02-19 23:24:09 -0800,"Seattle, WA",-1,"[1, 0, 0]"
2067,positive,@southwestair i would do anything for tickets to the vegas... anything. i love imagine dragons so much!!,2015-02-19 20:00:14 -0800,,1,"[0, 0, 1]"
2068,positive,@usairways 1899. thanks,2015-02-23 08:51:07 -0800,Mentor/Columbus,1,"[0, 0, 1]"
2069,neutral,"@united rebooting chicago dispatch system, need @pivotalcf as i'm tired of sitting on planes",2015-02-23 18:42:49 -0800,"iPhone: 39.201706,-106.854080",0,"[0, 1, 0]"
2070,negative,"@virginamerica trying to reset my password, email never arrives. help?",2015-02-21 10:37:28 -0800,"Los Angeles, CA",-1,"[1, 0, 0]"
2071,negative,@united your airbus a320 seats are awful. they don't recline.,2015-02-19 09:58:58 -0800,usa,-1,"[1, 0, 0]"
2072,positive,@southwestair for the win as always- saved my day and got me on a direct to orlando. 🎉🎉🎉,2015-02-18 05:22:30 -0800,,1,"[0, 0, 1]"
2073,neutral,"@united  need to change flight from this tuesday to sooner to attend to ailing parent in fl, need help!! #custserv",2015-02-19 08:43:05 -0800,North Jersey,0,"[0, 1, 0]"
2074,positive,@americanair aww cool! it's nice to know they are still up above my head then. one of my faves.,2015-02-24 10:11:21 -0800,United States,1,"[0, 0, 1]"
2075,negative,@united any chance you could help rebook?? my flight cancelled flightled,2015-02-22 08:05:14 -0800,,-1,"[1, 0, 0]"
2076,negative,"@united: i don't care that a @thehipmunk link showed me a ""wrong"" price on your site—it's your site &amp; responsibility to ensure correctness.",2015-02-23 18:15:23 -0800,"Brooklyn, NY",-1,"[1, 0, 0]"
2077,positive,@united thanks!,2015-02-23 07:42:30 -0800,Frequently DC/NYC/San Diego,1,"[0, 0, 1]"
2078,positive,@americanair aww thanks aa..dfw was on gma up here this am..so i understand ..btw a.a is my airline when im able to trv..love you guys.:),2015-02-24 09:27:28 -0800,East Coast     CT.,1,"[0, 0, 1]"
2079,positive,@americanair got another flight. thanks you,2015-02-24 11:06:31 -0800,,1,"[0, 0, 1]"
2080,negative,@united i am a comedian and i promise i will make fun of you on stage tonight.,2015-02-19 15:29:36 -0800,Texan in Los Angeles ,-1,"[1, 0, 0]"
2081,positive,@southwestair oh no worries. just have never seen that before until today. i mean…it is a great card 😀,2015-02-23 15:49:02 -0800,,1,"[0, 0, 1]"
2082,negative,@united you asked me to dm then ignore them. please assist in changing to another flight today- 21 feb fra to mco avoiding iad.,2015-02-20 19:00:31 -0800,"Obersulzbach, Germany",-1,"[1, 0, 0]"
2083,neutral,@jetblue when are you guys doing a dualcam with @redreserve ?,2015-02-21 06:36:46 -0800,Sub to me! ,0,"[0, 1, 0]"
2084,negative,"@united: ""left gate 5 minutes early."" 
my thoughts: ""that doesn't count if you sit on the tarmac for a half hour."" #comeonpeople",2015-02-21 05:25:18 -0800,"Nashville, TN      +309+ +320+",-1,"[1, 0, 0]"
2085,positive,@southwestair thx - fingers crossed they are found.,2015-02-18 14:59:50 -0800,"Washington, DC",1,"[0, 0, 1]"
2086,neutral,@virginamerica no a's channel this year?,2015-02-18 12:25:38 -0800,St. Francis (Calif.),0,"[0, 1, 0]"
2087,neutral,@southwestair currently rebooked thru dallas but i hear they are expecting an ice storm (sigh) #strandednyc,2015-02-22 13:20:20 -0800,"Loomis, CA (Near SacTown)",0,"[0, 1, 0]"
2088,positive,@usairways many thanks for your reply! http://t.co/6cgfv02gzb,2015-02-22 05:39:10 -0800,"Leeds, West Yorkshire",1,"[0, 0, 1]"
2089,neutral,@united on the plane. i was thoughtful enough to ask for it and got it; there are prob others that also deserved it,2015-02-22 17:25:28 -0800,"Vienna, VA",0,"[0, 1, 0]"
2090,positive,@americanair not surprised that you were the fastest responding us brand on twitter for q2 + q3 2014. also 10th fastest in the world in q3,2015-02-23 21:05:12 -0800,"San Antonio, TX / Boston, MA",1,"[0, 0, 1]"
2091,neutral,@southwestair omg omg omg !!! i just did!!,2015-02-20 15:44:44 -0800,,0,"[0, 1, 0]"
2092,positive,@americanair he thanks you. anything you can do to help. would any further information help in the process?,2015-02-23 17:59:59 -0800,New York,1,"[0, 0, 1]"
2093,neutral,@jetblue real shit my nigga north don't play around!,2015-02-21 03:10:49 -0800,,0,"[0, 1, 0]"
2094,neutral,"@southwestair btw, not a weather delay. we've had beautiful weather in sunny california. #nolove #noexcuses #cali http://t.co/kumtbger03",2015-02-22 10:00:18 -0800,,0,"[0, 1, 0]"
2095,neutral,@united was never given one,2015-02-17 11:52:55 -0800,,0,"[0, 1, 0]"
2096,positive,@southwestair they arrived late flight but pilots got us to dia on time. #impressive #outstanding #greatservice #allgood,2015-02-23 09:24:06 -0800,"Rocky Mountains, Colorado USA",1,"[0, 0, 1]"
2097,negative,@united is the worst airline. lost my luggage delayed my flights and has been very unaccomidating,2015-02-18 17:17:50 -0800,,-1,"[1, 0, 0]"
2098,neutral,@united if i have credit from a flight i cancelled flightled does the new flt have to be booked by 1 yr from orig purchase date or flown by that date?,2015-02-18 09:13:25 -0800,District of Columbia,0,"[0, 1, 0]"
2099,neutral,@united can you help me get from iah to sfo earlier tonight?,2015-02-22 16:34:29 -0800,,0,"[0, 1, 0]"
2100,positive,@southwestair best airline 👌,2015-02-23 13:21:29 -0800,,1,"[0, 0, 1]"
2101,neutral,@virginamerica need to change reservation. have virgin credit card. do i need to modify on phone to waive change fee? or can i do online?,2015-02-23 12:47:52 -0800,"San Francisco, CA",0,"[0, 1, 0]"
2102,negative,@united how can u not have gate ready or gate agent for going on hour two,2015-02-21 21:13:39 -0800,somerville nj,-1,"[1, 0, 0]"
2103,neutral,“@jetblue: our fleet's on fleek. http://t.co/ar0vaylmfc” really jet blue? lmao,2015-02-23 11:12:07 -0800,"Manhattan , New York",0,"[0, 1, 0]"
2104,negative,@virginamerica you guys messed up my seating.. i reserved seating with my friends and you guys gave my seat away ... 😡 i want free internet,2015-02-24 08:18:51 -0800,714,-1,"[1, 0, 0]"
2105,neutral,@jetblue the whole plane. flight 561 from lga to pbi http://t.co/4ktk2hsmgy,2015-02-22 11:24:16 -0800,NYC,0,"[0, 1, 0]"
2106,negative,"@united the internet is a great thing.  i am emailing executives in your company, maybe they will respond to me in a timely manner.",2015-02-24 10:47:29 -0800,"Parkersburg, WV",-1,"[1, 0, 0]"
2107,positive,@southwestair awesome. thanks! you guys rock!,2015-02-23 10:12:22 -0800,"Wilmington, North Carolina",1,"[0, 0, 1]"
2108,positive,"@jetblue big shoutout to the crews on 2017 bos&gt;jfk &amp; 486 jfk&gt;roc, &amp; gate crews at c19 bos &amp; 6 jfk. long day of delays made better by them!",2015-02-17 19:50:55 -0800,,1,"[0, 0, 1]"
2109,neutral,@southwestair  i got rebooked for tomorrow,2015-02-17 17:40:20 -0800,Classified ✈️✈️✈️,0,"[0, 1, 0]"
2110,neutral,@united yes! i'll be sending an email to customer service today.,2015-02-20 13:31:00 -0800,,0,"[0, 1, 0]"
2111,positive,@americanair shoutout to the agent on duty now @ gate b1 #abq / outstanding customer service w delayed flt 336 http://t.co/ooej4d4jop,2015-02-22 15:47:19 -0800,"New York, NY",1,"[0, 0, 1]"
2112,neutral,"@jetblue #flyingitforward pereira, colombia to help the kids from cartago streets and deliver a lot of clothes that i have picked to donate.",2015-02-19 20:36:44 -0800,,0,"[0, 1, 0]"
2113,positive,@southwestair awesome - thanks!,2015-02-17 15:34:10 -0800,Dallas,1,"[0, 0, 1]"
2114,negative,"@united besides landing the plane, overall customer service experience has been poor. late flight and rude workers plus missing luggage",2015-02-21 09:15:46 -0800,"Cleveland, Ohio",-1,"[1, 0, 0]"
2115,negative,@united why do i have to request refund? why charge twice in first place?,2015-02-19 07:08:16 -0800,New York,-1,"[1, 0, 0]"
2116,negative,@united gate c 24 iad. u released passengers to board w/others deplaning .50 peopleon bridge while next flight  board http://t.co/hfof33iyhi,2015-02-23 09:36:04 -0800,"CT, NY and most other states",-1,"[1, 0, 0]"
2117,negative,"@united dtv doesnt work, pilots late flight, wont let 10yr old fly next 2 me and i paid 4 an upgrade. #unitedsucks",2015-02-20 16:49:22 -0800,,-1,"[1, 0, 0]"
2118,neutral,@jetblue follow for dm please,2015-02-22 13:38:07 -0800,New York City,0,"[0, 1, 0]"
2119,neutral,@united patiently drinking and tweeting about my experience,2015-02-18 14:43:52 -0800,NJ ,0,"[0, 1, 0]"
2120,positive,@americanair i hope you like the photo :) http://t.co/p7fsluxegw,2015-02-22 12:53:52 -0800,,1,"[0, 0, 1]"
2121,negative,"@united your ""loyalty team"" basically flipped me off via phone, but thanks. maybe google ""loyalty"" and get back to me? ^lol",2015-02-20 16:46:29 -0800,"Los Angeles, CA (via Philly)",-1,"[1, 0, 0]"
2122,negative,.@united i appreciate you looking. can you compensate me on anything for my troubles? still haven't taken off for a 10:30 am flight,2015-02-20 12:41:14 -0800,New Jersey,-1,"[1, 0, 0]"
2123,neutral,@southwestair will the daytona 500 be available on free tv?,2015-02-22 08:31:25 -0800,west allis,0,"[0, 1, 0]"
2124,positive,"@southwestair thanks for the reply, something is off with the phones becuz after 2 dropped calls at 2 hours on hold, i got through on 1 ring",2015-02-17 12:56:39 -0800,"Nashville, TN",1,"[0, 0, 1]"
2125,neutral,@jetblue how long ago can a trip have taken place for me to still get credit if i didn't apply my trueblue # when i booked?,2015-02-19 14:03:45 -0800,,0,"[0, 1, 0]"
2126,neutral,@southwestair okay just signed up!,2015-02-19 05:39:43 -0800,Long Island,0,"[0, 1, 0]"
2127,negative,@united #bullying in the #workforce not ok. get gate agents 2 work as a team. 2 against 1 is never cool. #delays #flights #unitedairlines,2015-02-21 10:10:52 -0800,ONTARIO CANADA,-1,"[1, 0, 0]"
2128,neutral,@united how long does it take for customer feedback to respond to a complaint?,2015-02-20 14:11:56 -0800,,0,"[0, 1, 0]"
2129,neutral,@jetblue can you do me a huge favor?!🙏❤️,2015-02-18 18:58:25 -0800,im 5sos af :))),0,"[0, 1, 0]"
2130,positive,@southwestair just watched crew on flight 380 help elderly lady off plane...#firstclass,2015-02-22 12:07:45 -0800,Indianapolis,1,"[0, 0, 1]"
2131,positive,"@united we had a wonderful flight attendant named leah that was with us from lga to den, then den to anchorage!",2015-02-18 17:07:04 -0800,"Staten Island, NY",1,"[0, 0, 1]"
2132,positive,@southwestair have sent you a dm with the details. thanks!,2015-02-23 04:21:19 -0800,,1,"[0, 0, 1]"
2133,positive,"@jetblue  fll to mde, great flight, great customer service, thanks! 2 mths waiting  @americanair  to speak to a human at customer service",2015-02-22 04:50:45 -0800,,1,"[0, 0, 1]"
2134,positive,@jetblue okay thank you! i'll check with them again!,2015-02-22 03:41:36 -0800,"Austin, TX",1,"[0, 0, 1]"
2135,neutral,@united is it possible to upfare to p a segment where i have a gpu waitlisted?,2015-02-17 17:17:48 -0800,PDX / LGA / TXL / ✈,0,"[0, 1, 0]"
2136,negative,@united - terrible experience on ua415 on 17th. 1st exit row in economy has zero legroom. have same row booked for return but can't change.,2015-02-20 15:22:05 -0800,Greater New York City Area,-1,"[1, 0, 0]"
2137,neutral,"@jetblue it's for me, i spoke with a rep on the phone who suggested i ""voice a concern"" via ""email us"" on your site. i did a few moments ago",2015-02-17 14:06:32 -0800,"Miramar, Florida",0,"[0, 1, 0]"
2138,neutral,@jetblue i know you guys are super busy but is flight 1222 an a320 or e190?,2015-02-21 22:08:27 -0800,New York,0,"[0, 1, 0]"
2139,neutral,@southwestair how do get priority seating after you already paid for the flight,2015-02-23 13:24:27 -0800,Philadelphia PA ,0,"[0, 1, 0]"
2140,neutral,“@jetblue: our fleet's on fleek. http://t.co/cxttxv2lmp” 😒,2015-02-23 11:12:29 -0800,Buck Guy City,0,"[0, 1, 0]"
2141,negative,@virginamerica applied for status match on feb 1. got confirmation email same day. still no news though. you guys have dropped ball late flightly 😥,2015-02-19 17:04:14 -0800,Northern Virginia,-1,"[1, 0, 0]"
2142,neutral,um wut “@jetblue: our fleet's on fleek. http://t.co/m4uwcpxtxj”,2015-02-23 15:56:20 -0800,,0,"[0, 1, 0]"
2143,positive,"@united yes #lhrt2 lounge is fantastic, if only the us ones could be remotely similar!",2015-02-18 17:58:36 -0800,New York,1,"[0, 0, 1]"
2144,positive,"@virginamerica love you guys, but pls get some direct routes las to aus!",2015-02-19 11:20:05 -0800,The World,1,"[0, 0, 1]"
2145,negative,@united go to hell,2015-02-23 11:01:58 -0800,"San Francisco, CA",-1,"[1, 0, 0]"
2146,positive,"@virginamerica , am i dreaming? did you really just open up a route between dallas and austin?! and does this mean houston might be next?",2015-02-18 09:11:22 -0800,"Annapolis, Maryland",1,"[0, 0, 1]"
2147,neutral,“@jetblue: our fleet's on fleek. http://t.co/crfrwpc1sx”😂😂😂,2015-02-23 12:14:40 -0800,,0,"[0, 1, 0]"
2148,negative,@united never heard of this? http://t.co/qdebyahqfm,2015-02-23 15:21:51 -0800,"New York City, NY",-1,"[1, 0, 0]"
2149,neutral,@southwestair chances of flight leaving bna tomorrow at 6:20 am (to lga)?,2015-02-17 11:27:04 -0800,nyc/nashville/san diego,0,"[0, 1, 0]"
2150,negative,@united yes at 2am...but now back on a plane again and delayed again due to baggage loading issue... http://t.co/nfaqhhr09j,2015-02-23 11:25:17 -0800,San Francisco,-1,"[1, 0, 0]"
2151,positive,"@southwestair 

just realized i had the wrong departure date. thanks for making changes easy!",2015-02-22 08:59:56 -0800,"Columbus, OH",1,"[0, 0, 1]"
2152,positive,@southwestair @love_dragonss lauren im screaming,2015-02-18 08:33:44 -0800,Boston (sort of),1,"[0, 0, 1]"
2153,negative,@united i have never been so grossed out in my life. what a disappointment-yet again-flying with you.,2015-02-20 13:16:07 -0800,"Salt Lake City, UT",-1,"[1, 0, 0]"
2154,positive,@jetblue good luck. thanks.,2015-02-18 16:47:20 -0800,,1,"[0, 0, 1]"
2155,positive,@southwestair i wish i would've seen this 4 hours ago!!! i wanted to see them tonight so bad!!!! #crying,2015-02-20 16:35:50 -0800,,1,"[0, 0, 1]"
2156,neutral,@united what would it cost,2015-02-23 06:16:49 -0800,"Dartmouth, MA",0,"[0, 1, 0]"
2157,negative,@virginamerica i am in seat 4c and i cannot even open my laptop; and i paid extra for this seat!!,2015-02-18 17:11:34 -0800,"New York, sort of!",-1,"[1, 0, 0]"
2158,negative,@united boarding time shows 35 min and your gate agent started at 45. showed up at 4:00 and they had to check bag. http://t.co/zcbjyo6lsn,2015-02-23 16:23:12 -0800,"San Francisco, CA ",-1,"[1, 0, 0]"
2159,negative,@united i was on ua3782 and it was cancelled flightled. i'm waiting at customer service.,2015-02-21 16:50:29 -0800,"New Haven, CT",-1,"[1, 0, 0]"
2160,neutral,@united based on suggestions from other passengers i have a rental car on standby for 11:30.  one way or another will be leaving then.,2015-02-20 07:57:08 -0800,"Elmira, NY",0,"[0, 1, 0]"
2161,negative,@united rescheduled my return flight from #japan?  uh why?  trying to call #unitedairlines #customerservice - 45 min wait.  #fun,2015-02-22 11:30:20 -0800,San Francisco Bay Area,-1,"[1, 0, 0]"
2162,positive,@southwestair filing it now. thank you for your response.,2015-02-18 16:45:00 -0800,Maryland,1,"[0, 0, 1]"
2163,positive,@virginamerica cool picture of another virginamerica plane off our wing. what a site! http://t.co/5b2agfd8c4,2015-02-21 14:21:00 -0800,CT,1,"[0, 0, 1]"
2164,neutral,@jetblue will do.  i'll tell him you say hey.,2015-02-21 09:00:46 -0800,"Virginia Beach, VA",0,"[0, 1, 0]"
2165,positive,@americanair i'm booked for tuesday night. 60 degrees in alabama right now. i'm good. stay warm and safe.,2015-02-22 18:09:25 -0800,"Frisco, Texas",1,"[0, 0, 1]"
2166,negative,@united oh flight was fine. my lost luggage? not so much. looks like i'll be at least a half day late flight to my conference in santa monica...,2015-02-19 00:37:36 -0800,"Chicago, IL",-1,"[1, 0, 0]"
2167,neutral,"@united booked award tix on thaiairways but i'm not seeing a conf# for them, just the united flight booking problems#. can you get get the thai# for me?",2015-02-24 04:19:55 -0800,searching for coffee,0,"[0, 1, 0]"
2168,positive,@jetblue thank you!! miss you all so so much!! is this the link to the blog? or has that changed?,2015-02-17 08:49:24 -0800,,1,"[0, 0, 1]"
2169,neutral,@virginamerica @ladygaga @carrieunderwood julie andrews first but lady gaga wow'd me last night. carrie? meh.,2015-02-23 14:36:58 -0800,"Stockton, CA",0,"[0, 1, 0]"
2170,negative,@united the only difference being you are both responsible and in a position to do something about them. learn from @delta,2015-02-19 20:10:06 -0800,,-1,"[1, 0, 0]"
2171,positive,@southwestair deborah helped me💁,2015-02-20 09:22:49 -0800,,1,"[0, 0, 1]"
2172,positive,"thank you united! “@united: @dan_roam that's a beautiful place to stay a day longer. have you been re-booked? if not, let me know. ^mn”",2015-02-20 01:25:27 -0800,,1,"[0, 0, 1]"
2173,negative,@united pls stop sending texts every 15mins saying my flight is delayed another 15mins-it's been 3hrs. i usually defend u but this is lame..,2015-02-22 13:24:39 -0800,"Watertown, MA",-1,"[1, 0, 0]"
2174,neutral,@jetblue hello we are doing a world record attempt on the amount of ball point pens in a collection please could you help with a pen?,2015-02-21 15:11:45 -0800,Grimsby - UK,0,"[0, 1, 0]"
2175,negative,@united can you you think about hiring some baggage attendants at ewr? been waiting for bags for 1 hr. united = overcharged&amp;underserved,2015-02-19 15:51:19 -0800,,-1,"[1, 0, 0]"
2176,negative,@united so the 4-6hrs that you told me was what? a guess?? they've apparently had the bag 20hrs now and no call.,2015-02-19 13:26:28 -0800,,-1,"[1, 0, 0]"
2177,neutral,@jetblue airways to continue 'various commercial relationships' with #lufthansa ... - @capa_aviation http://t.co/o5sifhp4rt,2015-02-20 05:05:06 -0800,USA,0,"[0, 1, 0]"
2178,negative,@united hello i am flying first class and am behind 20 people on zone 1!!!!!  pls pass on to app dept - you should board 1st class first,2015-02-21 12:29:52 -0800,,-1,"[1, 0, 0]"
2179,negative,@united why the hell do my miles expire? was really looking forward to accruing enough for a free flight in 10 years.,2015-02-20 10:32:46 -0800,"Minneapolis, MN",-1,"[1, 0, 0]"
2180,neutral,@southwestair - kind of early but any idea when dates through the first week of sept will come available?,2015-02-17 08:11:29 -0800,"London, Ontario, Canada",0,"[0, 1, 0]"
2181,negative,@united this delay of flight ua4636 has been painful. i sure hope it doesn't cause me or my luggage) to miss my ua82 flight to new delhi!,2015-02-20 15:09:01 -0800,the nation's capital,-1,"[1, 0, 0]"
2182,negative,@united made me remove 1 pound from my checked bag otherwise they would charge me $200. loyal flier for 10 years - time for change.,2015-02-20 17:23:37 -0800,Silver Spring,-1,"[1, 0, 0]"
2183,negative,@united to speak to a real person to get this resolved politely and efficiently. (2/2),2015-02-24 02:57:49 -0800,Nottingham,-1,"[1, 0, 0]"
2184,neutral,@jetblue minutes to spare.,2015-02-21 09:45:29 -0800,CONCRETE JUNGLE,0,"[0, 1, 0]"
2185,neutral,@southwestair's ceo kelly draws record crowd to @bwi_airport business partnership breakfast http://t.co/cvba4olcbl http://t.co/wta5px70a5,2015-02-20 10:36:02 -0800,"Annapolis, MD USA",0,"[0, 1, 0]"
2186,negative,@united the first time i flew united was horrible thought i would give you a second chance. there will not be a third! #disgruntled,2015-02-22 14:22:01 -0800,Corpus Christi,-1,"[1, 0, 0]"
2187,negative,@united @thisiscoach every time my united flight got delayed. this is a big frustration.,2015-02-22 01:55:09 -0800,,-1,"[1, 0, 0]"
2188,negative,@united you had us reboard without the captain.  so now we'll be sitting in here for another 20+ min? http://t.co/eerekdf9fq,2015-02-19 15:26:57 -0800,"Madison, wi",-1,"[1, 0, 0]"
2189,neutral,@united i understand why the pilot would get on the plane but why 1st class?  there were 5 empty coach seats near me?  i'm a premier 1k?,2015-02-19 19:29:22 -0800,"Houston, Texas",0,"[0, 1, 0]"
2190,neutral,@southwestair booked the 8th.... save me an emergency exit... gotta stretch out,2015-02-20 18:36:56 -0800,FORT WORTH TEXAS! ,0,"[0, 1, 0]"
2191,positive,@united ok. i just submitted. thanks for the opportunity to give feedback.,2015-02-23 12:51:53 -0800,"Nashville, TN",1,"[0, 0, 1]"
2192,neutral,@united ok. can i dm you the info?,2015-02-18 22:56:05 -0800,"ÜT: 37.748534,127.066482",0,"[0, 1, 0]"
2193,neutral,@southwestair i am committed okay please hook me up for #destinationdragons,2015-02-20 15:15:35 -0800,,0,"[0, 1, 0]"
2194,negative,@united - plane came in with broken seat.  rather than fix it they put a broken sign on it and separated me from my kids.,2015-02-22 14:45:16 -0800,New York,-1,"[1, 0, 0]"
2195,neutral,“@jetblue: our fleet's on fleek. http://t.co/pulp4i0w96” smh,2015-02-23 10:21:49 -0800,the road less traveled. ,0,"[0, 1, 0]"
2196,neutral,"@southwestair kids on a mission trip from lasalle stranded in orlando area,  they can't get back to bos or pvd till wednesday?",2015-02-23 05:52:45 -0800,RI,0,"[0, 1, 0]"
2197,positive,@jetblue lolol @s_myc88,2015-02-23 12:05:59 -0800,"Brooklyn, NY",1,"[0, 0, 1]"
2198,negative,"@united not tonight, we got a hotel and after 14hrs of traveling and still not reaching our destination we are disappointed. thanks",2015-02-20 17:45:16 -0800,Buck-hio,-1,"[1, 0, 0]"
2199,positive,@americanair thank you,2015-02-23 20:51:23 -0800,SE USA,1,"[0, 0, 1]"
2200,negative,"@virginamerica the css on your site is a 404 right now, please fix. site unusable.",2015-02-21 09:51:48 -0800,"Cambridge, MA, USA, Earth",-1,"[1, 0, 0]"
